,Coarse RCA %,Water absorption,w/c,fcm (MPa),t¨Ct0 (days),h0 (mm),RH (%),¦Òc(t0)/ fcm(t0),Ecm (MPa),Ecm(t0) (MPa),"¦ÕMC(t,t0)"
123,30,3.49,0.5,31,28,50,65,0.4,36000,36000,2.34
124,30,3.49,0.5,31,56,50,65,0.4,36000,36000,2.664
125,30,3.49,0.5,31,90,50,65,0.4,36000,36000,2.844
126,0,0.3,0.51,26.5,7,50,77,0.25,31500,31500,0.155647059
127,0,0.3,0.51,26.5,28,50,77,0.25,31500,31500,0.296470588
128,0,0.3,0.51,26.5,56,50,77,0.25,31500,31500,0.352058824
129,100,4.7,0.5,32,7,50,77,0.25,25000,25000,0.486666667
130,100,4.7,0.5,32,28,50,77,0.25,25000,25000,0.75
131,100,4.7,0.5,32,56,50,77,0.25,25000,25000,0.833333333
132,0,0.3,0.6,27.5,7,50,77,0.25,36500,36500,0.369866667
133,0,0.3,0.6,27.5,28,50,77,0.25,36500,36500,0.564533333
134,0,0.3,0.6,27.5,56,50,77,0.25,36500,36500,0.6424
135,100,4.5,0.6,25.5,7,50,77,0.25,25000,25000,0.516666667
136,100,4.5,0.6,25.5,28,50,77,0.25,25000,25000,0.879166667
137,100,4.5,0.6,25.5,56,50,77,0.25,25000,25000,1.004166667
138,0,0.3,0.73,20,7,50,77,0.25,28500,28500,0.295
139,0,0.3,0.73,20,28,50,77,0.25,28500,28500,0.75
140,0,0.3,0.73,20,56,50,77,0.25,28500,28500,0.98
141,100,5.4,0.75,18.5,7,50,77,0.25,23000,23000,0.685306122
142,100,5.4,0.75,18.5,28,50,77,0.25,23000,23000,1.548979592
143,100,5.4,0.75,18.5,56,50,77,0.25,23000,23000,1.680408163
144,0,1.75,0.5,60.66,7,75,75,0.34,36300,38530,0.131897223
145,0,1.75,0.5,60.66,14,75,75,0.34,36300,38530,0.254373216
146,0,1.75,0.5,60.66,30,75,75,0.34,36300,38530,0.339164288
147,0,1.75,0.5,60.66,55,75,75,0.34,36300,38530,0.508746431
148,0,1.75,0.5,60.66,91,75,75,0.34,36300,38530,0.631222424
149,0,1.75,0.5,60.66,153,75,75,0.34,36300,38530,0.838489489
150,0,1.75,0.5,60.66,357,75,75,0.34,36300,38530,0.89501687
151,0,1.75,0.5,60.66,602,75,75,0.34,36300,38530,0.998650402
152,0,1.75,0.5,60.66,1000,75,75,0.34,36300,38530,1.074020244
153,20,5.4,0.5,53.46,7,75,75,0.26,32870,35300,0.440772167
154,20,5.4,0.5,53.46,14,75,75,0.26,32870,35300,0.522533305
155,20,5.4,0.5,53.46,30,75,75,0.26,32870,35300,0.561590169
156,20,5.4,0.5,53.46,55,75,75,0.26,32870,35300,0.587895317
157,20,5.4,0.5,53.46,91,75,75,0.26,32870,35300,0.609125279
158,20,5.4,0.5,53.46,153,75,75,0.26,32870,35300,0.865452195
159,20,5.4,0.5,53.46,357,75,75,0.26,32870,35300,0.825350028
160,20,5.4,0.5,53.46,602,75,75,0.26,32870,35300,0.981590094
161,20,5.4,0.5,53.46,1000,75,75,0.26,32870,35300,1.051926168
162,50,5.4,0.5,51.81,8,75,75,0.28,31550,31770,0.387299339
163,50,5.4,0.5,51.81,17,75,75,0.28,31550,31770,0.38226884
164,50,5.4,0.5,51.81,28,75,75,0.28,31550,31770,0.399320947
165,50,5.4,0.5,51.81,56,75,75,0.28,31550,31770,0.421650386
166,50,5.4,0.5,51.81,93,75,75,0.28,31550,31770,0.553247052
167,50,5.4,0.5,51.81,149,75,75,0.28,31550,31770,0.800908766
168,50,5.4,0.5,51.81,351,75,75,0.28,31550,31770,1.021704184
169,50,5.4,0.5,51.81,597,75,75,0.28,31550,31770,1.13210576
170,50,5.4,0.5,51.81,1000,75,75,0.28,31550,31770,1.161898017
171,100,5.4,0.5,42.85,6,75,75,0.34,25860,26850,0.721770159
172,100,5.4,0.5,42.85,14,75,75,0.34,25860,26850,0.786655609
173,100,5.4,0.5,42.85,32,75,75,0.34,25860,26850,0.857095849
174,100,5.4,0.5,42.85,53,75,75,0.34,25860,26850,0.956562161
175,100,5.4,0.5,42.85,90,75,75,0.34,25860,26850,0.953281156
176,100,5.4,0.5,42.85,146,75,75,0.34,25860,26850,1.195462537
177,100,5.4,0.5,42.85,348,75,75,0.34,25860,26850,1.209772505
178,100,5.4,0.5,42.85,594,75,75,0.34,25860,26850,1.268880289
179,100,5.4,0.5,42.85,1000,75,75,0.34,25860,26850,1.338447992
180,0,1.75,0.65,46.87,10,75,75,0.29,35150,36550,0.434991432
181,0,1.75,0.65,46.87,15,75,75,0.29,35150,36550,0.498061499
182,0,1.75,0.65,46.87,28,75,75,0.29,35150,36550,0.351003135
183,0,1.75,0.65,46.87,57,75,75,0.29,35150,36550,0.608899373
184,0,1.75,0.65,46.87,92,75,75,0.29,35150,36550,0.789160451
185,0,1.75,0.65,46.87,141,75,75,0.29,35150,36550,0.75064967
186,0,1.75,0.65,46.87,377,75,75,0.29,35150,36550,0.971163629
187,0,1.75,0.65,46.87,589,75,75,0.29,35150,36550,1.113412273
188,0,1.75,0.65,46.87,1000,75,75,0.29,35150,36550,1.147706758
189,20,5.4,0.65,46.66,9,75,75,0.33,32530,34310,0.592943857
190,20,5.4,0.65,46.66,14,75,75,0.33,32530,34310,0.661639937
191,20,5.4,0.65,46.66,27,75,75,0.33,32530,34310,0.538355166
192,20,5.4,0.65,46.66,56,75,75,0.33,32530,34310,0.712452656
193,20,5.4,0.65,46.66,92,75,75,0.33,32530,34310,0.783608117
